"Geo_FIPS","cluster","PC1","PC2","PC3"
6085502202,1,-1.84784942716159,-0.481689799545237,-0.670076702847331
6085502301,1,-1.43549616003728,-0.481896893078723,-1.56899970363655
6085502302,15,-0.46608837279679,-0.90536092941796,-1.46637182500604
6085502400,1,-2.71620893412307,0.00546032740681719,-2.05305257358823
6085502500,1,-3.00235535880403,0.0908783630128396,-1.13195724913618
6085502601,1,-3.87085107212056,0.035358975886605,-1.22088986022157
6085502603,1,-2.36395178842231,0.782454886328785,-1.46371509647327
6085502604,15,0.333769585680036,-1.96079883037929,-1.20245682019373
6085502701,1,-0.460782686744077,0.411092722613257,-0.865780265949654
6085502702,1,-1.12186167238122,0.241195223193389,-0.544753020839376
6085502800,1,-1.13305099374603,1.56543470156373,-1.01552804907669
6085502901,1,-0.750929317662048,1.11921688222604,-0.418126116950056
6085502902,1,-2.30121409538042,1.32018222346446,-0.738118804145838
6085502903,1,-3.2108675647017,0.86482906385318,-0.681278133364251
6085502906,8,-0.250811903195366,1.2114657757141,-0.158585208418642
6085502907,1,-2.47063352827082,1.41053280527949,-0.667173439442697
6085502908,1,-1.8282287790787,0.780936785339835,-0.348491655602776
6085502909,8,0.169338919175541,0.671631544873141,-0.923725085413689
6085502910,8,-0.602940687087032,0.0286416409563241,-0.398663169931279
6085503001,1,-3.32731243628093,0.777727204092615,-1.12183563200175
6085503002,1,-1.51803106454527,1.04523149602286,-1.21390291530893
6085503003,1,-2.17091158185681,1.18324832402692,-0.674925610311669
6085503105,6,3.43471727132581,1.81185757105495,2.44310498125142
6085503108,15,0.684554632401884,1.23109777334423,1.31940040209963
6085503110,6,5.99056855078761,1.70916613608977,1.36323394796199
6085503111,6,3.03982770652976,2.92851060741406,1.93279870839407
6085503112,13,3.63157306738926,0.0763548447847635,0.301406853682289
6085503113,6,5.67162123410735,1.54649263619904,-0.602507229300682
6085503115,13,-1.23828569725717,0.898226386304141,0.41518378638904
6085503116,13,-0.00789998237647919,0.0897963678029582,1.14770447625441
6085503117,6,6.13890576009837,2.20016035916704,1.31635734907844
6085503118,6,4.92292240034652,1.39121541766672,1.22663625207552
6085503121,6,3.93877563571225,0.56180730680131,-0.856498214456031
6085503122,6,5.12692345847819,1.57430939763717,0.349888152114986
6085503123,6,3.86852841334243,-0.587935429374046,-0.581075330372353
6085503204,6,3.36179886548975,1.93558606126668,0.914787840656545
6085503207,9,1.51757442252864,2.576582900745,2.61355913865798
6085503208,6,2.46238720210526,3.09972356229318,0.698030137064263
6085503210,6,2.84742689294003,3.08693208489735,1.55414746433974
6085503211,6,2.41825947881395,3.16224644227907,1.49730621301181
6085503212,9,0.919801095021977,2.57577497220558,1.83966012053238
6085503213,6,3.36281989039088,2.56628818588703,2.11393612409146
6085503214,6,4.77909140695796,2.70810925046475,1.18556072096258
6085503217,6,4.97964118666659,3.18787292695882,1.01009628745171
6085503218,6,5.39064487015831,2.28166012208273,0.0333609407918526
6085503304,6,3.80288330484033,2.06464500782999,1.31905340613634
6085503305,6,3.66086342862158,2.71627567980142,1.45425438821039
6085503306,6,3.19024107048345,3.56444730357619,0.782760473543287
6085503312,13,-0.0117538986692549,2.87183473429662,0.349478295020769
6085503313,14,-2.03703846226977,2.35387761745913,2.54556764701862
6085503315,9,2.56165371871908,2.1845694196181,1.9961898680583
6085503321,14,-0.330980280902269,2.33020982475684,3.65772770056342
6085503322,9,1.03989126567505,2.56090292668853,2.17273201697917
6085503323,9,0.504192933226956,2.40251651353586,2.10820725904994
6085503324,14,-0.675531023344321,2.46506482509633,3.52544062898276
6085503325,9,0.725800259400756,3.136318397491,2.54613021360139
6085503326,14,-1.1449629253616,3.27189418532231,3.84888335568507
6085503327,13,1.22051931201017,1.78452164062084,1.18908584823066
6085503329,14,-2.42639619569008,2.4622751863813,3.22633502607604
6085503330,14,-2.96990306224983,3.16500663764598,4.11458053658853
6085503331,1,-1.3312846297412,1.42944646024395,0.367236992114312
6085503332,8,-4.24544280382895,1.32717436773191,-0.525430283397493
6085503333,8,-1.98200442182269,1.9248136907705,1.39555725201882
6085503334,14,-3.63134126422808,2.40967303783547,2.97853292702744
6085503336,9,1.19167238298148,2.95408610927252,2.84740176159743
6085503337,9,2.11370340830981,2.27772573780291,2.30240951396678
6085503401,6,4.30494255053342,2.88950310075243,0.965800508413779
6085503402,6,5.68515912342987,2.3589845323325,0.815076774831821
6085503504,6,4.25775614194014,3.30809846297088,0.36789890797218
6085503506,6,4.50237284530636,3.10466956853096,0.718050718186247
6085503507,6,4.14867347056921,2.80021056106069,0.552554554178571
6085503508,6,4.41791446539208,2.70698361725781,0.709394153521898
6085503509,6,2.94680785339829,3.17899449734775,0.867336949105962
6085503510,6,5.04776570283442,2.49420056428561,0.499321847890186
6085503511,6,2.62743482806624,3.0644009805583,2.01411803370965
6085503601,6,3.96948796542691,2.08545152350422,0.0264679261443388
6085503602,6,4.05051173267347,2.06477434440285,0.390888651620726
6085503703,6,4.54778496061498,2.51688372146929,0.745649635299776
6085503707,6,3.59691493836507,2.30901076894934,1.82691679033894
6085503708,9,2.034618977604,2.55077003688713,2.927018171512
6085503709,6,5.58222969090417,1.52685590029778,2.60362074700389
6085503710,6,4.77332567018164,2.04392411398706,1.13771878481405
6085503711,6,4.63101986374986,3.00260902333309,0.0421721077230183
6085503712,6,3.76065031896848,0.386397216009104,2.01513612648064
6085503713,6,4.81563827903177,0.220703285976651,1.48250219444621
6085503802,13,1.93543451282767,2.04829644598285,1.25032210116415
6085503803,9,0.539101084073748,1.60094487600165,2.7403615686842
6085503804,6,2.05378712205635,2.23174325703391,1.4240231931041
6085503902,6,3.66085701595808,2.06229618761995,0.597021542084896
6085503903,6,3.4696039537942,2.44028190787801,1.21593900485801
